Word,Description,Description OK,Description (updated),Description(Final),Example(Final),Alternate spellings,Remarks (if applicable),POS,Pronun,Origin,License,Reference,
abang,"Sure, here's the dictionary entry for 'abang':\n\nWord: Abang (ah-bung)\n\nDefinition: Abang is a Singaporean colloquial term used to refer to an older brother or a male elder. It can also be used as a term of endearment for a male friend or partner.\n\nExample:\n1. ""My abang always gives me good advice whenever I'm facing a problem.""\n2. ""Abang, let's go watch a movie tonight.""\n\nNote: 'Abang' is commonly used in Malay culture, but has also been adopted by Singaporeans of other ethnicities.\n\nHope that helps!",Yes,,Abang is a Singaporean colloquial term used to refer to an older brother or a male elder. It can also be used as a term of endearment for a male friend or partner.,"1. My abang always gives me good advice whenever I'm facing a problem.
2. ""Abang, let's go watch a movie tonight.",bang,,N,AbAN,Malay,,http://www.mysmu.edu/faculty/jacklee/,FALSE
acar,"Sure, here's the dictionary entry of 'acar, achar':\n\nacar, achar (noun): A type of Asian pickled vegetable dish, commonly found in Singapore and Malaysia, made with a mixture of vegetables such as carrots, cucumbers and cabbage, that have been pickled in vinegar and spices. \n\nPronunciation: uh-kar, ah-char \n\nExample usage: ""I love the spicy and sour taste of acar with my nasi lemak.""\n\nNote: The spelling for this word can vary between 'acar' and 'achar' depending on the region and language spoken.",Yes,,"A type of Asian pickled vegetable dish, commonly found in Singapore and Malaysia, made with a mixture of vegetables such as carrots, cucumbers and cabbage, that have been pickled in vinegar and spices.",1. I love the spicy and sour taste of acar with my nasi lemak.,achar,,N,"AtSA
AtsA",Malay,,http://www.mysmu.edu/faculty/jacklee/,FALSE
ACS,"ACS (noun) \n\nPronunciation: /ˈeɪ.si.ɛs/ \n\nAlternate spellings: Anglo-Chinese School\n\nDefinition:\nACS, short for Anglo-Chinese School, is a prestigious and well-established educational institution in Singapore. The term is commonly used to refer to any of the various schools affiliated with the ACS brand, including ACS (Barker Road), ACS (Independent), ACS (Primary), and ACS (International) among others. ACS schools are known for their rich history, academic excellence, and strong emphasis on character development and values-based education. These schools are highly regarded for their holistic approach to education, nurturing students intellectually, physically, socially, and morally. ACS schools are recognized for their strong sporting teams, performing arts programs, and community involvement.\n\nExample:\n- ""My son just got accepted into ACS (Primary)! We're so proud of him.""\n- ""Are you an ACS alumni? That's awesome!""\n- ""ACS schools are known for producing well-rounded individuals with strong leadership skills.""\n\nNote:\nIn Singlish, ACS is commonly used as a shorthand term to refer to any of the ACS-affiliated schools, highlighting the cultural familiarity with these prestigious institutions.",Yes,,"ACS, short for Anglo-Chinese School, is a prestigious and well-established educational institution in Singapore. The term is commonly used to refer to any of the various schools affiliated with the ACS brand, including ACS (Barker Road), ACS (Independent), ACS (Primary), and ACS (International) among others. ACS schools are known for their rich history, academic excellence, and strong emphasis on character development and values-based education. These schools are highly regarded for their holistic approach to education, nurturing students intellectually, physically, socially, and morally. ACS schools are recognized for their strong sporting teams, performing arts programs, and community involvement.","""My son just got accepted into ACS (Primary)! We're so proud of him.""",Anglo-Chinese School,,N,eI s i E s,English,CC BY-SA 4.0,Wiktionary,FALSE
act blur,"Dictionary entry:\n\nAct blur \n\nPronunciation: /akt bler/\n\nDefinition: To pretend to be unaware of something or to feign ignorance in order to avoid responsibility, confrontation or to evade answering questions.\n\nExample: ""When the teacher asked who left their books on the floor, John acted blur and pretended he didn't hear the question.""\n\nOrigin: The term 'act blur' is a slang phrase commonly used in Singapore and Malaysia. It is a combination of two English words 'act' meaning to pretend and 'blur' meaning to be unclear or not understanding something. The term is also influenced by the Singlish phrase 'blur like sotong' which means being oblivious or confused.\n\nUsage: The phrase 'act blur' is frequently used in informal settings to describe someone who is trying to avoid responsibility or to get away from answering a difficult question. It is also commonly used in workplace or school settings when one wishes to avoid getting into trouble. However, the phrase can also have negative connotations and may be seen as a form of dishonesty.",Partial-pronunciation/etymology,"Dictionary entry:\n\nAct blur \n\nPronunciation: /akt bler/\n\nDefinition: To pretend to be unaware of something or to feign ignorance in order to avoid responsibility, confrontation or to evade answering questions.\n\nExample: ""When the teacher asked who left their books on the floor, John acted blur and pretended he didn't hear the question.""\n\nOrigin: The term 'act blur' is a slang phrase commonly used in Singapore and Malaysia. It is a combination of two English words 'act' meaning to pretend and 'blur' meaning to be unclear or not understanding something. \n\nUsage: The phrase 'act blur' is frequently used in informal settings to describe someone who is trying to avoid responsibility or to get away from answering a difficult question. It is also commonly used in workplace or school settings when one wishes to avoid getting into trouble. However, the phrase can also have negative connotations and may be seen as a form of dishonesty.","To pretend to be unaware of something or to feign ignorance in order to avoid responsibility, confrontation or to evade answering questions.\n\nExample: ""When the teacher asked who left their books on the floor, John acted blur and pretended he didn't hear the question. The term 'act blur' is a slang phrase commonly used in Singapore and Malaysia. It is a combination of two English words 'act' meaning to pretend and 'blur' meaning to be unclear or not understanding something. The phrase 'act blur' is frequently used in informal settings to describe someone who is trying to avoid responsibility or to get away from answering a difficult question. It is also commonly used in workplace or school settings when one wishes to avoid getting into trouble. However, the phrase can also have negative connotations and may be seen as a form of dishonesty.",,,,V,"""{kt bl""3",English,,http://www.mysmu.edu/faculty/jacklee/,FALSE
action,"Sure, below is the dictionary entry for ""action"" in Singlish:\n\nAction (adj./n.): (a-kuh-shun)\n- Description: Used to describe a person who is lively, enthusiastic, and enthusiastic about something. Also used as a noun to describe an event or activity that is exciting or entertaining.\n- Example:\n  - ""Wow, that girl is really action ah! She's always dancing and singing.""\n  - ""Eh, the party last night was damn action lah. Everyone was dancing and having fun.""\n\nNote: In Singlish, ""action"" is often used in the context of describing an animated or exciting personality or event. It is a commonly used term, and is pronounced with the emphasis on the first syllable (""a-kuh-shun"").",Partial-pronunciation/etymology,"Action (adj./n.): (ak-shun)\n- Description: Used to describe a person who is lively, enthusiastic, and enthusiastic about something. Also used as a noun to describe an event or activity that is exciting or entertaining.\n- Example:\n  - ""Wow, that girl is really action ah! She's always dancing and singing.""\n  - ""Eh, the party last night was damn action lah. Everyone was dancing and having fun.""\n\nNote: In Singlish, ""action"" is often used in the context of describing an animated or exciting personality or event. It is a commonly used term, and is pronounced with the emphasis on the first syllable (""ak-shun"").","Used to describe a person who is lively, enthusiastic, and enthusiastic about something. Also used as a noun to describe an event or activity that is exciting or entertaining. In Singlish, ""action"" is often used in the context of describing an animated or exciting personality or event. It is a commonly used term, and is pronounced with the emphasis on the first syllable (""ak-shun"").","1. Wow, that girl is really action ah! She's always dancing and singing.
2. Eh, the party last night was damn action lah. Everyone was dancing and having fun.",,,Adj,"""{kS@n",English,,http://www.mysmu.edu/faculty/jacklee/,FALSE
Adik,"Entry: Adik\n\nPronunciation: ah-dik\n\nAlternate spellings: \n\n- Adik (no alternate spelling)\n\nDefinition: \n\nAdik is a colloquial term derived from the Hokkien dialect, commonly used in Singlish to refer to a younger sibling or a younger person, regardless of their actual familial relationship. This term is often used as a form of endearment or to show familiarity and closeness.\n\nExample sentences:\n\n1. ""Eh, adik, come here and help me with this!""\n\n2. ""My adik always follows me around everywhere I go.""\n\n3. ""She's like my adik, always seeking my advice.""\n\nNote: The usage of ""adik"" to address a younger person may not necessarily indicate an actual blood relation, but rather a way of showing affection or camaraderie.",Yes,,Younger sibling,1. My adik is two years younger than me. He's serving in the army now.,,,N,AdeIk,Malay,CC-By-NC 4.0,Red-Dot Baby-Talk Quiz 1.0,FALSE
adoi,"Sure, here's the dictionary entry for ""adoi"" in Singlish:\n\n**Adoi**\n\n*Pronunciation: /ah-doy/*\n\nDefinition: An expression of annoyance, frustration, or pain; an exclamation of discomfort.\n\nExample: ""Adoi, this food is too spicy!""\n\nOrigin: ""Adoi"" is believed to have originated from the Malay language, in which it means ""ouch"" or ""oh no"". It has since been adopted into Singlish and is commonly used to express discomfort or frustration.\n\nNote: The pronunciation of ""adoi"" varies depending on the speaker's accent and emphasis. It can be pronounced with a long ""a"" sound (ah-doy) or a short ""a"" sound (uh-doy).",Yes,,"An expression of annoyance, frustration, or pain; an exclamation of discomfort. ""Adoi"" is believed to have originated from the Malay language, in which it means ""ouch"" or ""oh no"". It has since been adopted into Singlish and is commonly used to express discomfort or frustration. The pronunciation of ""adoi"" varies depending on the speaker's accent and emphasis. It can be pronounced with a long ""a"" sound (ah-doy) or a short ""a"" sound (uh-doy).","1. Adoi, this food is too spicy!",,,,"Ad""OI",Malay,,http://www.mysmu.edu/faculty/jacklee/,TRUE
Aduh,"Aduh\n\nPronunciation: ah-doo\n\nAlternate spellings: Ahduh, adoh\n\nDefinition:\nAduh is an interjection commonly used in Singlish to express surprise, frustration, pain, or exasperation. It is versatile and can be used in various situations to convey different emotions. The intensity and tone with which it is uttered can vary depending on the context.\n\nExample:\n\n1. ""Aduh, I missed the bus again!""\n   (expressing frustration and disappointment)\n\n2. ""Aduh! That hurt!""\n   (expressing pain or surprise)\n\n3. ""Aduh, how can you say that?""\n   (expressing disbelief or exasperation)\n\n4. ""Aduh, why so hot lah!""\n   (expressing the feeling of discomfort)\n\nUsage notes:\n- Aduh is often elongated for emphasis, like ""Adoooooh!"" or ""Aduuuuh!""\n- This exclamation is commonly heard and used in Singapore and among the local ethnic communities.\n- Aduh is similar to the English interjections ""oh no,"" ""ouch,"" or ""geeze.""\n\nRelated terms:\n- Aiyah: an interjection expressing resignation or mild annoyance\n- Alamak: an interjection expressing surprise or disappointment\n\nNote: Singlish, short for Singaporean English, refers to the unique creole language spoken in Singapore, which incorporates elements of English, Mandarin Chinese, Malay, Tamil, and various Chinese dialects.",Yes,,An expression to express pain like 'ouch',1. Aduh! So pain my head!,Adoi,,Interjection,"""AdU",Malay,CC-By-NC 4.0,Red-Dot Baby-Talk Quiz 1.0,FALSE
aeroplane,"Title: Aeroplane (Air-uh-pleyn)\n\nDefinition: \nAeroplane refers to a powered flying vehicle with fixed wings and an engine, commonly known as an airplane in standard English. This term is predominantly used in Singlish, which is a variety of English spoken in Singapore.\n\nAlternate Spellings:\n- Airplane (used interchangeably in Singaporean English)\n\nUsage:\n- ""I took an aeroplane to Malaysia for my vacation.""\n- ""Do you want to go for a joyride in the aeroplane this weekend?""\n\nAdditional Information:\nIn Singlish, the term ""aeroplane"" is often used more casually or colloquially compared to the standard English ""airplane."" It is worth noting that Singlish incorporates several words and phrases from various languages, including Malay, Hokkien, and Tamil, transforming the way English is spoken and understood in Singapore.",No,,,,,,,,,CC BY-SA 4.0,Wiktionary,TRUE
agak,"Sure, here's the dictionary entry for 'agak':\n\nWord: Agak (ah-gahk)\nDescription: Agak is a term commonly used in Singlish that means 'estimate' or 'guess'. It can be used in a variety of situations, such as when trying to figure out a price or time frame, or when making an approximation based on limited information.\n\nExample:\n- ""Eh, how much you think this shirt cost ah?"" ""Agak only, maybe around $20-$30?""\n- ""What time you think the bus come ah?"" ""Agak la, maybe in 10-15 minutes.""\n\nNotes:\n- Agak is often used in combination with other Singlish terms, such as 'agak-agak' (roughly estimating) or 'agak-ed' (already estimated).\n- The pronunciation of 'agak' is similar to the English word 'ah' followed by the word 'gahk'.",Yes,,"Agak is a term commonly used in Singlish that means 'estimate' or 'guess'. It can be used in a variety of situations, such as when trying to figure out a price or time frame, or when making an approximation based on limited information. Agak is often used in combination with other Singlish terms, such as 'agak-agak' (roughly estimating) or 'agak-ed' (already estimated).\n- The pronunciation of 'agak' is similar to the English word 'ah' followed by the word 'gahk'.","1. Eh, how much you think this shirt cost ah?
2. Agak only, maybe around $20-$30?
3. What time you think the bus come ah?
4. Agak la, maybe in 10-15 minutes.",agaration (noun),,V,"""AgAk",,,http://www.mysmu.edu/faculty/jacklee/,FALSE
agak agak,"Entry: Agak Agak\n\nPronunciation: uh-guhk uh-guhk\n\nAlternate spellings: Agar Agar, Ahgo Ahgo\n\nDefinition:\nAgak agak is a Singlish phrase that derives its roots from the Malay language. It is typically used to express a rough estimation or a guess. The phrase can be translated to mean ""roughly"" or ""approximately"" in English. It is commonly employed in everyday conversations to describe a haphazard estimation of measurements, time, or quantities when precise information is not available.\n\nExample usages:\n1. ""How long will it take to reach the mall?"" \n   ""Agak agak, about 20 minutes by car.""\n\n2. ""Can you estimate the weight of this package?""\n   ""I'd say agak agak around 3 kilograms.""\n\n3. ""What time will the meeting start?""\n   ""Agak agak, maybe around 2:30 pm.""\n\nThe phrase 'agak agak' is widely used in Singapore and is often considered an essential part of Singlish dialect. It adds a casual and relaxed tone to conversations, allowing individuals to provide a rough estimate without needing to be overly precise.",Yes,,Redirect to agak,,,,,,,CC BY-SA 4.0,Wiktionary,TRUE
agar-agar,"Sure, here's the dictionary entry for 'agar-agar':\n\nAgar-agar (noun) [ah-guh ah-guh]\n\nDefinition: \n1. A gelatinous substance obtained from certain types of seaweed, used as a thickening agent in food and drinks.\n2. Commonly referred to as ""jelly"" in Singaporean English\n\nExample:\n""I made some agar-agar for dessert tonight.""\n\nPronunciation:\nAh-guh ah-guh (with emphasis on the second syllable on both parts)\n\nNote: Agar-agar is a commonly used ingredient in Asian desserts, especially in Singapore, and can come in various flavours and colours.",Yes,,"1. A gelatinous substance obtained from certain types of seaweed, used as a thickening agent in food and drinks.
2. Commonly referred to as ""jelly"" in Singaporean English
Agar-agar is a commonly used ingredient in Asian desserts, especially in Singapore, and can come in various flavours and colours.",1. I made some agar-agar for dessert tonight.,,,Interjection,"""AgA ""AgA",,,http://www.mysmu.edu/faculty/jacklee/,FALSE
agar-ation,"Agar-ation (ah-gah-ray-shun)\n\nDefinition: Agar-ation is a singlish term derived from the English word ""aggravation."" It is used to describe feelings of annoyance, frustration, or irritation. The term is often employed to express exasperation or displeasure towards a particular situation or person.\n\nExample:\n1. ""Wah, this traffic jam causing so much agar-ation, can die sia!""\nTranslation: ""Wow, this traffic jam is causing so much annoyance, it's unbearable!""\n\nAlternate spellings: None.\n\nNote: Agar-ation is a colloquial term commonly used in Singlish conversations.",No,,Redirect to agak,,,,,,,CC BY-SA 4.0,Wiktionary,TRUE
agaration,"Sure, here's the dictionary entry for ""agaration"":\n\nAgaration (noun)\n\nPronunciation: ah-gah-ree-shun\n\nDefinition: Used to describe a situation that is confusing or unclear, often due to a lack of information or communication.\n\nExample: ""I don't understand why she's avoiding me, there's so much agaration going on.""\n\nNote: This term is commonly used in Singapore, where Singlish - a creole language that blends English with words and phrases from various languages spoken in the region - is spoken. The term is derived from the Malay word ""agak-agak"", which means ""estimation"" or ""approximation"".",No,"\n\nAgaration (noun)\n\nPronunciation: ah-gah-ray-shun\n\nDefinition: A guess or estimate. Derived from the word agar. Example: ""Your agaration fail lah, this is not even close to the price.""",A guess or estimate. Derived from the word agak and the English suffix -ation.,"1. Your agaration fail lah, this is not even close to the price.",,,N,"""AgAr\eIS@n",,,http://www.mysmu.edu/faculty/jacklee/,FALSE
ah,"ah\n\nDefinition: \n\nAh is an interjection commonly used in Singlish to express various emotions or to seek agreement, clarification, or affirmation. It can be translated to English as ""yes,"" ""I see,"" ""okay,"" or ""oh"" depending on the context. Ah is typically used at the end of a sentence or as a standalone utterance. Its exact meaning and interpretation can vary based on tone and context.\n\nAlternate Spellings: \n\nThere are no widely accepted alternate spellings for ah. However, it may be spelled as ""arh"" or ""aah"" to emphasize different tones of expression.\n\nExample Usage:\n\n1. Expressing agreement:\n   - ""Wah, this durian is very tasty, ah!""\n   - ""You want to go out for dinner? Ah, can!""\n\n2. Seeking confirmation:\n   - ""Tomorrow's meeting is at 3 p.m., ah?""\n   - ""The concert is at 7 p.m., ah?""\n\n3. Indicating understanding:\n   - ""I need to go to the bank first, ah.""\n   - ""You mean I have to study the whole week, ah?""\n\n4. Expressing surprise or realization:\n   - ""Wah, this car is so expensive, ah!""\n   - ""You didn't tell me you were going on vacation, ah?""\n\nNotes:\n\nAh is a versatile interjection used extensively in Singlish. Its proper interpretation often relies on context, tone, and body language. It adds flavor and expressiveness to conversations and is an integral part of the Singlish linguistic style.",Yes,,"Ah is an ubiquitous word in Singlish that serves multiple purposes. 
1) Ah is used in nicknames when addressing people. This ah is usually pronounced with a mid level tone. (tone 3)
2) Ah is also a particle. With a rising tone, ah is used with imperatives to soften commands and reduce distance and can help to promote a reply when used with questions. (tone 2)
3) The rising tone ah also serves as a topic marker. (tone 2)
4) Themid tone ah marks a question that is looking for confirmation from the hearer. (tone 3)","1. Ah3 Beng, how are you?
2. Don't play play ah2! translation: Don't mess around
3. This boy ah2, never hand in homework one.
4. You want me to help ah3?",,,Particle,a,,CC BY-SA 4.0,Wiktionary,FALSE
Ah Beng,"Title: Ah Beng\n\nPronunciation: Ah-beng\n\nAlternate Spellings: ABeng, Ah Ben\n\nDefinition:\nAh Beng is a commonly used slang term in Singapore to refer to a stereotypical young Chinese man who displays distinctive characteristics such as flashy fashion sense, gelled and spiked hair, preference for loud and ostentatious accessories, and a tendency to engage in rowdy or boisterous behavior. The term often carries a humorous or light-hearted tone, and is sometimes used affectionately to refer to friends with similar traits, although it can also be used in a derogatory manner.\n\nExample:\nAh Beng came to the party wearing his signature loud, neon-colored shirt and gold chains.\n\nOrigin:\nThe term ""Ah Beng"" is believed to have originated from the Chinese Hokkien dialect, with ""Ah"" being a common prefix used in Singaporean Chinese slang to address or refer to someone, and ""Beng"" being a Hokkien term for ""gangster"" or someone who exhibits rebellious, uncouth behavior.\n\nUsage:\n1. ""Eh, where all the Ah Bengs hang out one ah?""\n2. ""Don't be such an Ah Beng lah! Put away those flashy accessories.""\n\nNote:\nWhile the term ""Ah Beng"" is primarily used to describe young Chinese men, it is worth noting that similar stereotypes exist across different ethnicities in Singapore, such as ""Ah Lian"" (for young Chinese women) or ""Ah Seng"" (for young Malay men).",No,,"A common Chinese name in Singapore used to refer to a young Chinese man in Singapore, associated with a stereotype of having little education or sophistication and operating within secret societies and street gangs.","""He just dyed his hair blonde. I didn't want to tell him, but he kind of looks like an ah beng now""",,,N,A b eI N,Hokkien,CC BY-SA 4.0,Wiktionary,FALSE
Ah boy,"Ah boy\n\nPronunciation: /ɑː bɔɪ/\n\nAlternate spellings: Ah boi, Ahbuay\n\nDefinition:\nAh boy is a common term used in Singlish to refer to a young boy or a young man. It is often used affectionately and is commonly heard in daily conversations amongst Singaporeans. The term is a fusion of the Chinese word ""ah"" (meaning ""little"" or ""hey"") and the English word ""boy"". \n\nExample:\n1. ""Eh, see that ah boy, so cheeky one!""\n2. ""Ah boy, go buy some kopi for me, please.""\n\nUsage notes:\n- The term ""ah boy"" can be used irrespective of the age of the person being referred to. It can refer to a boy or young man from childhood to early adulthood.\n- Sometimes, ""ah boy"" can also be used to refer to someone in a friendly or familiar manner even if they are not actually young in age.\n\nOrigin:\nThe term ""ah boy"" is believed to have originated from the Hokkien Chinese dialect, which is widely spoken in Singapore. Over time, it has become a part of the distinct Singlish language and is used by various ethnic groups in Singapore.\n\nSimilar Terms:\n- Buey tahan (pronounced: /bʊeɪ tɑː hɑːn/): This term is also commonly used in Singlish and means ""cannot tolerate"" or ""cannot stand."" It can be used to describe someone's behavior or actions.",Yes,,A general term for a young male child or a young guy.,"1. Ah boy, school bus come already!",,,N,A bOI,English,CC-By-NC 4.0,Red-Dot Baby-Talk Quiz 1.0,FALSE
